period,energySource,co2-thousand-metric-tons,nox-short-tons,so2-short-tons,co2-thousand-metric-tons-units,nox-short-tons-units,so2-short-tons-units
2008,fossil fuels,2469260.0,3423421.0,8382507.0,thousand metric tons,short tons,short tons
2008,others,14752.0,247542.0,248311.0,thousand metric tons,short tons,short tons
2008,renewables,2484012.0,3670963.0,8630818.0,thousand metric tons,short tons,short tons
2009,fossil fuels,2254958.0,2392188.0,6334871.0,thousand metric tons,short tons,short tons
2009,others,14549.0,248285.0,246242.0,thousand metric tons,short tons,short tons
2009,renewables,2269508.0,2640473.0,6581113.0,thousand metric tons,short tons,short tons
2010,fossil fuels,2374329.0,2485399.0,5711268.0,thousand metric tons,short tons,short tons
2010,others,14266.0,260496.0,241702.0,thousand metric tons,short tons,short tons
2010,renewables,2388596.0,2745895.0,5952970.0,thousand metric tons,short tons,short tons
2011,fossil fuels,2272433.0,2380968.0,5079811.0,thousand metric tons,short tons,short tons
2011,others,14639.0,271593.0,260876.0,thousand metric tons,short tons,short tons
2011,renewables,2287071.0,2652561.0,5340687.0,thousand metric tons,short tons,short tons
2012,fossil fuels,2141804.0,2079501.0,3816444.0,thousand metric tons,short tons,short tons
2012,others,15070.0,287930.0,266445.0,thousand metric tons,short tons,short tons
2012,renewables,2156875.0,2367431.0,4082889.0,thousand metric tons,short tons,short tons
2013,fossil fuels,2159108.0,2083104.0,3714571.0,thousand metric tons,short tons,short tons
2013,others,14699.0,301703.0,263417.0,thousand metric tons,short tons,short tons
2013,renewables,2173806.0,2384794.0,3977988.0,thousand metric tons,short tons,short tons
2014,fossil fuels,2153592.0,2002513.0,3543529.0,thousand metric tons,short tons,short tons
2014,others,14692.0,312740.0,263907.0,thousand metric tons,short tons,short tons
2014,renewables,2168284.0,2315253.0,3807436.0,thousand metric tons,short tons,short tons
2015,fossil fuels,2016641.0,1709342.0,2544228.0,thousand metric tons,short tons,short tons
2015,others,14811.0,301343.0,264234.0,thousand metric tons,short tons,short tons
2015,renewables,2031452.0,2010685.0,2808462.0,thousand metric tons,short tons,short tons
2016,fossil fuels,1913394.0,1516013.0,1728672.0,thousand metric tons,short tons,short tons
2016,others,15007.0,280986.0,262872.0,thousand metric tons,short tons,short tons
2016,renewables,1928401.0,1796999.0,1991544.0,thousand metric tons,short tons,short tons
2017,fossil fuels,1835453.0,1369886.0,1508321.0,thousand metric tons,short tons,short tons
2017,others,14297.0,276353.0,254625.0,thousand metric tons,short tons,short tons
2017,renewables,1849750.0,1646239.0,1762946.0,thousand metric tons,short tons,short tons
2018,fossil fuels,1857832.0,1344105.0,1412477.0,thousand metric tons,short tons,short tons
2018,others,14497.0,280245.0,259998.0,thousand metric tons,short tons,short tons
2018,renewables,1872330.0,1624350.0,1672475.0,thousand metric tons,short tons,short tons
2019,fossil fuels,1711050.0,1214890.0,1134899.0,thousand metric tons,short tons,short tons
2019,others,13822.0,263926.0,261387.0,thousand metric tons,short tons,short tons
2019,renewables,1724873.0,1478816.0,1396286.0,thousand metric tons,short tons,short tons
2020,fossil fuels,1539871.0,1078173.0,889665.0,thousand metric tons,short tons,short tons
2020,others,13715.0,256640.0,237728.0,thousand metric tons,short tons,short tons
2020,renewables,1553586.0,1334813.0,1127393.0,thousand metric tons,short tons,short tons
2021,fossil fuels,1636458.0,1133486.0,1049208.0,thousand metric tons,short tons,short tons
2021,others,15453.0,247851.0,238095.0,thousand metric tons,short tons,short tons
2021,renewables,1651911.0,1381337.0,1287303.0,thousand metric tons,short tons,short tons
2022,fossil fuels,1635556.0,1124076.0,962493.0,thousand metric tons,short tons,short tons
2022,others,14810.0,231525.0,227065.0,thousand metric tons,short tons,short tons
2022,renewables,1650367.0,1355601.0,1189558.0,thousand metric tons,short tons,short tons
