period,stateid,stateDescription,fuelid,fuelDescription,co2-rate-lbs-mwh,co2-thousand-metric-tons,nox-rate-lbs-mwh,nox-short-tons,so2-rate-lbs-mwh,so2-short-tons,co2-rate-lbs-mwh-units,co2-thousand-metric-tons-units,nox-rate-lbs-mwh-units,nox-short-tons-units,so2-rate-lbs-mwh-units,so2-short-tons-units
2012,UT,Utah,NG,Natural Gas,,3113,,2126,,17,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2012,UT,Utah,OTH,Other,,64,,1089,,105,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2012,UT,Utah,PET,Petroleum,,30,,196,,0,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2012,UT,Utah,ALL,Total,1814,32484,2.8,54205,1.1,22075,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2012,VA,Virginia,COL,Coal,,17099,,21672,,49857,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2012,VA,Virginia,NG,Natural Gas,,10921,,4764,,60,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2012,VA,Virginia,OTH,Other,,847,,12315,,10373,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2012,VA,Virginia,PET,Petroleum,,356,,682,,1095,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2012,VA,Virginia,ALL,Total,909,29223,1.1,39433,1.7,61385,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2012,VT,Vermont,NG,Natural Gas,,2,,1,,0,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2012,VT,Vermont,OTH,Other,,0,,640,,26,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2012,VT,Vermont,PET,Petroleum,,10,,32,,26,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2012,VT,Vermont,ALL,Total,4,12,.2,673,0,52,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2012,WA,Washington,COL,Coal,,4125,,4944,,1690,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2012,WA,Washington,NG,Natural Gas,,2634,,2632,,21,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2012,WA,Washington,OTH,Other,,118,,5388,,20185,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2012,WA,Washington,PET,Petroleum,,113,,150,,240,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2012,WA,Washington,ALL,Total,132,6990,.2,13114,.4,22136,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2012,WI,Wisconsin,COL,Coal,,35319,,30599,,94728,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2012,WI,Wisconsin,NG,Natural Gas,,5215,,2795,,36,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2012,WI,Wisconsin,OTH,Other,,65,,8903,,6442,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2012,WI,Wisconsin,PET,Petroleum,,597,,1033,,6384,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
